,id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,sqft_basement,yr_built,sqft_living15,sqft_lot15
18391,104510180,230000.0,3,2.25,1500,7210,1.0,1150,350,1984,1500,7210
10460,3528900060,1145000.0,3,2.5,2490,4000,2.0,1670,820,1918,2310,4000
14653,3345100286,560000.0,4,2.5,3270,24750,1.0,1690,1580,1979,1520,13480
6909,1226039130,355000.0,3,2.25,1980,7200,1.0,1300,680,1964,1820,8250
13438,8712100720,785000.0,3,2.0,2090,5015,1.5,2090,0,1920,1930,4250
6969,3037200010,447500.0,2,2.25,1180,2090,2.0,1180,0,2004,1550,2812
14858,3626039268,540000.0,1,1.0,1140,6700,1.5,1140,0,1920,1350,6700
19159,104510230,252000.0,3,2.0,1540,7210,2.0,1540,0,1984,1500,7210
11937,5112800060,455000.0,4,1.75,2050,94525,1.0,1250,800,1959,2270,47480
15473,6072400280,619850.0,4,2.5,2270,9247,1.0,1500,770,1972,2270,9163
2084,5317100570,1250000.0,3,2.5,2070,4944,2.0,2070,0,1930,3300,6179
20980,9528102993,495000.0,3,1.5,1580,1228,3.0,1580,0,2014,1580,3605
3559,2919201095,540000.0,3,1.0,1270,3840,1.5,1270,0,1926,1270,4175
6844,6181400920,286651.0,3,2.5,1830,4997,2.0,1830,0,2004,2488,4998
5937,185000161,261000.0,3,1.0,1780,7800,1.0,1060,720,1957,1450,7800
6797,8691400010,830000.0,4,3.25,3330,7809,2.0,3330,0,2004,3100,6465
19093,3345700165,450000.0,3,2.25,2530,27227,2.0,2530,0,1987,2160,30192
2386,6151800486,260000.0,2,1.0,1270,19602,1.0,1270,0,1977,1270,17699
6355,4340000080,1450000.0,4,3.5,2820,7809,2.0,2820,0,1995,2630,7904
14984,4136960010,480000.0,5,3.5,3480,12821,2.0,2890,590,2004,3400,9870
2325,3634100030,270000.0,4,2.0,1830,5220,1.5,1830,0,1951,1760,5757
15694,1624059224,1160000.0,4,3.5,4680,9700,2.0,3360,1320,2005,2800,12343
8937,2788400090,250000.0,3,1.0,1700,7700,1.0,1120,580,1960,1700,8800
8288,9828200762,650000.0,2,1.0,1050,2542,1.0,880,170,1904,1620,1809
5252,7524400250,589950.0,3,2.0,2080,12094,2.0,2080,0,1982,2230,12204
16349,3528000290,743700.0,4,2.5,2610,33206,2.0,2610,0,1988,2870,28295
9414,5700003630,1925000.0,5,4.25,4830,8050,2.5,3710,1120,1914,4470,9194
19314,2720069019,316000.0,3,1.75,1120,98445,1.5,1120,0,1917,1620,34200
1453,7227501170,235867.0,4,2.0,1330,5926,1.0,1330,0,1942,1150,5485
4489,2397101270,716000.0,3,2.0,1420,3600,1.5,1420,0,1904,1250,3600
18636,6792100090,683000.0,4,2.5,2620,10489,2.0,2620,0,1990,2430,7701
3147,2770602265,345000.0,3,2.0,1430,4200,1.0,830,600,1908,1540,5000
8149,3971700937,270000.0,3,1.75,1260,7500,1.0,840,420,1947,1340,7500
14759,422049203,239000.0,3,1.5,1330,6540,1.0,900,430,1971,1400,11500
2687,3076500830,385195.0,1,1.0,710,6000,1.5,710,0,2015,1440,4800
2714,1423400260,273000.0,3,1.75,2050,9045,2.0,2050,0,1959,1200,9045
4982,9161100795,476900.0,3,1.0,1240,5758,1.5,960,280,1910,1460,5750
13359,3126049052,551000.0,4,1.75,2040,6348,1.0,1020,1020,1962,1770,5047
3125,5100401468,448000.0,2,1.0,1110,5413,1.0,890,220,1937,1300,5413
6253,514500235,411100.0,3,1.5,1040,10323,1.0,1040,0,1958,1580,7200
16556,1423200170,223000.0,2,1.0,910,9869,1.0,910,0,1957,1480,9750
11893,1402100070,335500.0,5,3.0,2240,19090,1.0,1700,540,1968,2280,20000
6052,624110020,730000.0,3,3.0,3460,13129,2.0,2560,900,1988,3460,12568
9400,2407000145,197200.0,3,1.0,1140,8775,1.0,990,150,1942,1300,8775
17385,1890000225,725000.0,6,1.75,2380,4080,2.0,2380,0,1917,2030,4080
2171,1320069271,342500.0,3,2.0,2080,11375,1.0,2080,0,2002,1080,12899
13585,5490700085,340000.0,5,2.0,1750,8220,1.0,1750,0,1956,1210,6760
13809,263000155,418000.0,3,2.0,1410,6030,1.5,1410,0,1930,1410,6300
8354,3726800201,410000.0,3,1.75,2160,4000,1.0,1080,1080,1953,1260,3200
9912,5153200358,240000.0,5,1.75,2460,16000,1.0,1230,1230,1957,1990,16000
21431,2725079018,800000.0,4,3.25,3540,159430,2.0,3540,0,2007,1940,392040
20735,7165700200,275000.0,3,3.0,1390,1080,2.0,1140,250,2006,1450,1081
6729,9429000170,617950.0,4,2.5,2410,7950,2.0,2410,0,1997,1920,7713
554,8718500075,396000.0,3,1.5,1300,8280,1.0,1300,0,1956,1570,8692
21215,1760650950,309000.0,3,2.5,1950,3825,2.0,1950,0,2013,1950,3825
13593,1068000559,1275000.0,4,1.75,3720,8448,1.0,1960,1760,1947,2540,7064
5848,4113800500,572500.0,3,2.5,2490,7589,2.0,2490,0,1991,2500,10386
15448,4077800507,518500.0,4,3.0,2120,5520,1.5,1420,700,1985,2020,8700
6672,2725069150,710000.0,3,2.5,2830,9680,2.0,2830,0,1991,2970,8691
14106,4008400035,600000.0,5,3.25,4410,58157,2.0,2330,2080,2001,2460,42565
10534,7016310270,467000.0,4,2.5,2220,7210,1.0,1270,950,1973,2220,7313
44,1432701230,309000.0,3,1.0,1280,9656,1.0,920,360,1959,1340,8808
20547,3278606050,362500.0,3,3.5,1710,2212,2.0,1400,310,2013,1580,2212
1765,2473350710,390000.0,4,1.75,2330,8364,1.0,2330,0,1968,2180,9630
11717,2185000685,208417.0,2,1.0,840,4200,1.0,840,0,1938,830,5000
3334,7792000025,340000.0,3,1.0,3180,27586,1.0,1400,1780,1969,2180,27586
7201,6868200029,467500.0,3,1.75,2260,8512,1.0,1130,1130,1948,2240,8040
13412,624069003,829000.0,4,2.75,2970,59677,1.0,1610,1360,1973,2930,42489
17494,7431500280,959750.0,4,3.0,3060,50002,1.0,2460,600,1957,2740,16181
12838,3296000040,542000.0,3,2.5,1990,15985,1.0,1540,450,1964,2470,10125
13071,1118001215,2250000.0,3,2.5,3420,8700,1.0,2890,530,1951,3370,8700
7834,6453900040,575000.0,5,2.5,2990,7500,1.0,1800,1190,1972,2800,9860
17672,333100209,690000.0,3,1.75,2330,16300,2.0,2330,0,1964,2330,16300
8803,34001765,699950.0,3,3.25,2230,5460,1.0,1430,800,1977,2070,5600
3910,8946700100,408500.0,4,2.5,2720,7043,2.0,2720,0,2003,2640,6958
12862,5561401210,595000.0,4,3.0,3680,35736,1.5,2320,1360,1970,3210,39512
15908,6671900095,313000.0,3,1.75,1320,6205,1.0,1320,0,1948,1210,6205
6067,3275850020,781000.0,4,2.5,2590,8571,2.0,2590,0,1988,2360,8155
4325,3876300600,371000.0,4,1.75,1610,11305,1.0,1610,0,1968,1870,11850
17218,1450900020,268000.0,3,2.0,1610,8416,1.0,1610,0,1994,1600,8308
21307,8562780280,331000.0,2,2.25,1240,720,2.0,1150,90,2008,1260,810
20015,7663700973,321000.0,3,2.25,1347,1292,3.0,1347,0,2010,1480,1865
1901,2126049032,375000.0,3,1.75,1330,9417,1.0,710,620,1936,1690,7937
11066,1823059159,298000.0,2,1.0,850,5000,1.0,850,0,1907,910,4815
8497,3438503426,209500.0,3,1.5,970,5488,1.0,970,0,1976,1040,5488
4847,9297301495,440000.0,3,2.5,2160,3738,2.0,2160,0,1994,1500,4000
4110,7140700850,350000.0,4,2.5,2560,5428,2.0,2560,0,2012,2620,5428
1870,7942601805,618000.0,3,2.5,2340,3630,2.0,2340,0,1998,1820,5120
11430,2555900030,320000.0,3,1.0,1520,8870,1.5,1520,0,1951,1520,7800
14591,2887970040,234950.0,2,2.5,1720,3132,2.0,1720,0,1999,1740,4220
16615,7419700010,665000.0,5,2.0,2800,17788,1.0,1400,1400,1963,1760,18282
19186,2239000011,500000.0,4,2.0,1530,7816,1.0,1530,0,1955,1480,7816
5513,9283800050,575000.0,2,1.5,1750,19709,1.5,1440,310,1978,1950,21075
7571,9407001340,320000.0,3,2.0,1110,10500,1.0,1110,0,1978,1230,10395
10835,217500140,464000.0,5,2.5,3400,8970,1.0,1700,1700,1959,1890,8475
11178,7212660520,280000.0,4,2.0,1600,6861,1.0,1600,0,1994,1870,7455
2350,3298201170,350000.0,3,1.0,940,7811,1.0,940,0,1959,1180,7490
20756,3057000400,249000.0,2,1.5,1090,2686,2.0,1090,0,1982,1160,2158
606,6865200444,531000.0,2,3.0,1270,1175,2.0,1110,160,2000,1290,1800
1201,6071600340,472800.0,3,2.25,1840,8400,1.0,1290,550,1961,2110,8400
6914,6821600005,710000.0,4,1.75,2120,5400,1.0,1060,1060,1941,2052,6000
17938,1235100371,580000.0,5,2.75,3550,9600,2.0,3550,0,1960,3370,9600
2561,7796450340,330000.0,4,2.5,2980,5674,2.0,2980,0,2003,2610,5495
13043,3603000410,174950.0,2,1.0,730,6000,1.0,730,0,1950,1750,7200
5714,9297300255,565000.0,3,3.0,2110,4000,1.0,1110,1000,1965,1730,4000
2851,9126100850,534000.0,5,2.0,2280,3600,2.0,2280,0,1992,1740,1800
6473,2770601462,503500.0,3,2.5,1810,1750,2.0,1350,460,1997,1640,1563
8432,2599001500,235000.0,3,1.75,1420,7920,1.0,1420,0,1962,1420,7920
16423,1102000095,558000.0,4,2.5,3220,5120,2.0,2420,800,2000,1770,7680
11498,1853080640,966000.0,5,4.5,3810,8019,2.0,3810,0,2008,3390,7713
5160,9551201585,1297000.0,6,2.75,2630,9420,2.0,2510,120,1900,1540,4969
10154,3438500796,310000.0,3,1.5,1060,6954,1.0,1060,0,1983,1560,6372
3468,7518504291,535000.0,2,1.0,1520,3360,1.0,830,690,1927,1470,3774
11892,9269200340,432000.0,4,1.75,1970,5160,1.5,1970,0,1942,1230,4920
16430,715010130,1750000.0,6,4.25,5860,13928,2.0,4150,1710,2013,5790,13928
18405,1982201485,675000.0,4,3.0,2400,3340,1.0,1200,1200,1964,1520,3758
5048,9526500080,337000.0,4,2.0,1590,8779,1.0,1590,0,2001,2090,9600
14584,9277200180,410000.0,3,1.0,1410,5000,1.0,980,430,1925,1410,5000
15784,6669150280,320000.0,4,2.5,2130,9653,1.0,1500,630,1978,2000,7988
18769,8917100153,585000.0,4,2.5,2370,15200,1.0,1660,710,1975,2360,13879
2020,3760500516,835000.0,5,4.0,3600,14720,1.0,1800,1800,1960,3600,15358
563,2725069050,863000.0,4,2.5,4120,22370,2.0,4120,0,1997,3180,7257
5357,3332000091,320000.0,3,1.0,1190,4120,1.0,1190,0,1929,1360,4635
21133,8562770080,613000.0,3,3.25,2440,2812,2.0,1710,730,2005,2440,2836
15963,8151601190,180000.0,5,1.0,1460,11726,1.5,1290,170,1936,1460,10450
383,8563040160,560000.0,4,2.25,2550,7800,1.0,1580,970,1968,2420,8050
5412,240000269,530000.0,4,4.5,4060,10800,2.0,4060,0,2007,1830,9768
812,4307350200,347000.0,3,2.5,1680,4308,2.0,1680,0,2004,2160,4182
8063,1311910300,260000.0,5,2.25,2320,6375,1.0,1270,1050,1967,1760,7600
11746,3574900030,585000.0,4,2.5,2200,9099,2.0,2200,0,1994,2270,8900
11976,7853230570,440000.0,3,2.5,2230,5800,2.0,2230,0,2004,2230,6088
7134,320069049,305000.0,4,1.5,1590,131551,1.0,1590,0,1966,2280,108028
4821,9839301060,650500.0,3,1.75,1740,4400,1.5,1740,0,1903,1740,4400
18177,7011201333,590000.0,3,3.25,1290,1230,2.0,1090,200,2008,1710,1797
7719,2781320100,245000.0,3,1.75,1670,24650,1.0,1670,0,1974,1810,19465
4949,3421069120,329999.0,3,2.75,3360,41250,1.0,1820,1540,1988,2580,98881
1427,7852030320,470000.0,3,2.5,2620,4874,2.0,2620,0,1999,2360,4231
14030,5316101075,2885000.0,7,3.0,5350,14400,2.5,5020,330,1910,3050,7469
4043,5309100750,580000.0,3,1.75,1460,2800,2.0,1460,0,1928,1220,4062
12521,629000730,745000.0,3,1.75,1490,9800,1.0,1140,350,1947,2310,9800
16558,511700170,350000.0,4,2.25,1780,10416,1.0,1060,720,1963,1780,9975
1475,1562100030,515000.0,4,1.75,1730,7980,1.0,1730,0,1965,2080,8400
13713,2489200230,756100.0,4,2.0,2000,8317,1.5,2000,0,1917,1390,6001
9898,524069116,472500.0,3,2.0,1750,15500,1.0,1490,260,1982,2450,50094
1595,5315100737,900000.0,6,2.75,2300,24773,1.5,2300,0,1950,2720,11740
5211,1868900675,895000.0,4,2.75,2640,4000,2.0,1730,910,1925,1530,3740
21436,1608000120,255000.0,3,2.5,2555,5720,2.0,2555,0,2006,2844,5769
11881,705700240,380000.0,4,2.5,2320,10079,2.0,2320,0,1994,2010,7438
18847,7575600610,265000.0,3,2.5,1660,5250,2.0,1660,0,1988,1630,5505
3073,1778500015,728000.0,3,1.5,1940,4000,1.5,1310,630,1915,1940,4000
10747,5423500240,194000.0,3,1.0,1050,7577,1.0,1050,0,1983,1430,7245
4191,6713700025,300000.0,3,1.0,1220,13000,1.0,1220,0,1955,1510,12600
3844,2734100734,216650.0,3,3.5,1540,1427,2.0,1360,180,2007,1220,4000
21087,301402280,223990.0,2,2.25,1061,2884,2.0,1061,0,2013,1481,2887
13173,2113700205,220000.0,4,1.0,1200,6000,1.5,1200,0,1923,950,4000
2864,4114601570,3600000.0,3,3.25,5020,12431,2.0,3420,1600,1941,3680,12620
18762,3332000615,310000.0,3,1.0,1330,3740,1.5,1330,0,1903,1330,5053
8141,3630050180,360000.0,2,1.75,1230,1107,2.0,1230,0,2006,1380,1107
11250,6852700520,635000.0,2,2.5,1390,1132,2.0,1130,260,2006,1400,1237
7337,6870310010,599950.0,4,3.5,2500,3080,2.0,1810,690,2008,2060,3295
8239,6163900981,220000.0,3,1.0,1180,5002,1.5,1180,0,1946,1470,8410
12937,393000142,372000.0,4,2.5,2070,8658,2.0,2070,0,1999,2010,7215
4894,1771100130,332900.0,3,1.5,1190,11996,1.0,1190,0,1969,1190,9756
423,1442860160,380000.0,3,2.5,2280,10255,2.0,2280,0,1985,2310,10094
12281,9191200435,471000.0,4,1.75,1450,3750,1.0,950,500,1925,1850,4000
2308,6788200800,1185000.0,4,2.75,2850,3000,2.5,2530,320,2003,2083,4500
341,1115300070,684000.0,4,3.5,3040,8414,2.0,2420,620,2010,3470,8066
11711,3176600105,750000.0,3,2.25,2250,5301,2.0,1510,740,1975,2240,7200
15174,2770604665,612125.0,2,1.5,1670,6000,1.0,1090,580,1950,1670,6000
12964,5469500580,455500.0,3,1.75,2290,19000,1.0,1650,640,1973,2900,13034
6039,5680000545,330000.0,4,2.0,1750,5202,1.0,1070,680,1942,2090,5400
4202,3424089119,654000.0,3,2.5,3240,60840,2.0,3240,0,1997,2570,204732
7841,1328300180,323000.0,4,2.75,1970,7213,1.0,1170,800,1977,1980,7045
19921,1773100922,315000.0,3,3.25,1480,983,2.0,1180,300,2013,1330,1062
15807,4123830480,392000.0,4,2.75,1940,6555,2.0,1940,0,1990,1840,6912
15932,9808610190,782000.0,4,2.5,2830,20345,2.0,1980,850,1979,2830,13732
2725,4250200140,298500.0,4,2.5,1890,5954,2.0,1890,0,2004,2030,5880
6508,4217402115,3650000.0,6,4.75,5480,19401,1.5,3910,1570,1936,3510,15810
20806,3831250350,374000.0,3,2.5,2185,6042,2.0,2185,0,2009,2297,5876
18896,2397101055,850000.0,3,2.25,1950,3600,1.5,1430,520,1911,1950,3600
19619,6817850110,785000.0,4,2.5,3210,24527,1.5,3210,0,1984,3280,24527
911,7526800200,615000.0,4,2.25,2500,10062,1.0,1600,900,1975,2500,9750
21478,7853370100,599832.0,3,2.75,3230,5200,2.0,2680,550,2014,3100,4900
13250,2523089025,1075000.0,3,3.0,4020,435600,1.5,4020,0,1999,2590,283140
6149,9476200680,226000.0,3,1.75,1490,6269,1.0,990,500,1944,1490,7722
19629,5714200140,421500.0,4,3.0,2793,5703,2.0,2793,0,2009,2793,5704
7891,3575304895,406550.0,5,2.75,2400,15781,1.0,1200,1200,1974,2390,7500
21608,263000018,360000.0,3,2.5,1530,1131,3.0,1530,0,2009,1530,1509
20304,8080400177,520000.0,2,1.75,1340,1368,2.0,1060,280,2006,2480,1707
14156,6450304130,329950.0,2,1.0,1140,5250,1.5,1140,0,1949,1450,5250
4115,514500090,550000.0,4,2.0,2250,7500,1.0,1200,1050,1956,1440,7500
3505,9477000300,425000.0,4,2.25,2060,8540,1.0,1540,520,1967,1560,7700
10951,853600310,1610000.0,5,4.5,6085,142725,3.0,6085,0,2000,4830,128457
12014,1951600240,185000.0,3,1.0,1240,9198,1.5,1240,0,1959,1170,8970
8137,1099900120,345000.0,3,2.5,2340,8414,1.0,1280,1060,1993,2340,7268
13177,5323100120,585000.0,3,3.5,1700,2197,2.0,1260,440,2010,1360,1418
7438,1223089016,325000.0,3,2.25,2450,49658,1.0,1770,680,1978,1340,121097
8157,522059172,220000.0,3,1.0,1460,10200,1.0,1460,0,1957,1460,8500
4788,1930300190,716100.0,3,1.0,1640,4000,1.5,1640,0,1909,2140,4000
12597,9542840410,313999.0,4,2.25,1870,4198,2.0,1870,0,2008,1870,4184
13266,8665050530,450000.0,3,2.0,1610,4364,2.0,1610,0,1996,2010,4364
17759,5592900205,380000.0,2,1.75,1800,7191,1.0,990,810,1952,1940,7400
4909,5450300010,572000.0,3,1.5,1680,13751,1.0,1680,0,1951,1760,13500
10560,2459960030,343888.0,4,2.5,2060,5607,2.0,2060,0,2002,2060,5367
18820,3331500455,474950.0,3,2.25,1850,2575,2.0,1850,0,2013,1080,4120
4322,3432500705,410000.0,4,2.25,2200,8292,2.0,2200,0,1990,1090,8290
2930,3702900165,295000.0,1,1.0,520,5600,1.0,520,0,1918,1030,5265
8151,5249803550,635000.0,3,2.5,1960,7200,1.0,980,980,1940,1440,7200
7650,626049058,275000.0,5,2.5,2570,17234,1.0,1300,1270,1959,1760,7969
6698,1788900380,185000.0,2,1.0,1122,9100,1.0,1122,0,1960,840,9344
18786,8075400360,239000.0,2,1.0,1130,15190,1.0,1130,0,1954,1490,16920
16043,9113200250,840000.0,4,2.5,2480,4602,2.0,2480,0,2000,3480,5739
20882,2738640040,644000.0,4,2.5,3310,4839,2.0,3310,0,2007,3240,5280
5042,7821200307,515000.0,2,1.0,970,3300,1.0,970,0,1916,1060,3600
10201,3530440140,276200.0,2,1.75,1370,4495,1.0,1370,0,1975,1370,4686
15294,3582700130,400000.0,4,1.75,1770,12875,1.0,1770,0,1988,2150,12875
20066,9276200569,769900.0,4,3.5,2730,3047,2.0,2400,330,2006,1980,4600
16860,7197800020,585000.0,4,2.5,2250,4119,2.0,2250,0,2001,2290,3115
9245,686200490,570000.0,4,1.75,1860,7700,1.0,1860,0,1964,1860,7700
18504,3501600100,490000.0,3,1.0,920,4800,1.0,780,140,1926,1370,4800
8729,6383000690,587100.0,3,2.25,1670,6414,1.0,1670,0,1961,2130,7035
12788,7604400150,329900.0,3,2.0,1380,5198,1.0,1380,0,1982,1320,6827
12507,5249801411,725000.0,5,3.75,3360,6000,2.0,2640,720,1963,1930,6000
6595,2607720420,445000.0,3,2.5,2250,9608,2.0,2250,0,1994,2020,9834
6228,9561100010,380000.0,3,2.5,1840,6985,1.0,1290,550,1971,2160,7990
18325,1796370590,255000.0,3,2.0,1490,7599,1.0,1490,0,1990,1560,7710
17591,4077800593,355000.0,3,1.0,1360,8968,1.0,1360,0,1956,1490,7355
7665,854000165,285000.0,3,1.5,1400,7582,1.0,1400,0,1956,1280,7872
6243,5536100010,1050000.0,4,1.0,1330,9729,1.0,1330,0,1952,2920,10353
5934,4188000670,749400.0,4,2.5,3240,20301,2.0,3240,0,1985,3010,23650
4743,31000165,1490000.0,5,3.5,3620,7821,2.0,2790,830,1958,2690,9757
5129,662350050,950000.0,5,3.25,3400,7452,2.0,3400,0,1999,2650,8749
16190,4137000280,264500.0,3,2.5,1630,8346,1.0,1630,0,1990,2110,8619
4015,6169901130,1385000.0,3,3.0,2490,3600,2.0,1790,700,1911,2490,3600
11842,1953400510,199950.0,5,2.5,1740,8750,1.0,1740,0,1959,1740,8750
18002,7518506716,969950.0,3,2.5,2830,3750,3.0,2830,0,2014,1780,5100
16295,1552520010,405000.0,3,2.5,1500,9636,2.0,1500,0,1994,1700,9656
34,7955080270,322500.0,4,2.75,2060,6659,1.0,1280,780,1981,2020,8720
2893,9212900100,425000.0,4,1.75,1820,6000,1.0,930,890,1942,1590,6000
12353,3438500798,275000.0,3,1.5,1060,6954,1.0,1060,0,1983,1560,6954
